feature,approx_importance
proto_igmp,0.12146164
service_dns,0.120810635
ct_dst_src_ltm,0.114180505
dmean,0.110679604
service_smtp,0.110666305
proto_sctp,0.10504786
state_CON,0.10043513
sttl,0.099661574
proto_ipip,0.09938
proto_cphb,0.09898774
proto_ipv6,0.098713055
proto_vrrp,0.096448526
proto_rdp,0.09600257
service_http,0.09554949
service_dhcp,0.095453516
proto_gre,0.09495486
service_ssl,0.09450129
service_pop3,0.09381712
proto_dcn,0.092245944
proto_sat-mon,0.09217566
service_ssh,0.09191142
service_ftp-data,0.09062855
proto_visa,0.09034288
service_snmp,0.09001413
proto_swipe,0.08985245
proto_ospf,0.08972156
proto_arp,0.08962698
proto_udp,0.08899157
proto_cpnx,0.088695556
proto_ddx,0.08807481
proto_sun-nd,0.08791694
proto_prm,0.08787081
ct_srv_src,0.08686949
proto_pri-enc,0.086662725
ct_srv_dst,0.08621971
proto_smp,0.08576606
state_RST,0.08552284
proto_trunk-2,0.08472161
proto_rvd,0.0846361
proto_mhrp,0.08387986
proto_fire,0.08361924
proto_snp,0.08323826
proto_cbt,0.08292864
proto_mtp,0.08274424
proto_unas,0.08267715
proto_stp,0.082605526
service_irc,0.08248494
proto_merit-inp,0.082115844
proto_kryptolan,0.08186745
proto_i-nlsp,0.0818101
proto_etherip,0.081141576
proto_crudp,0.08111546
ct_state_ttl,0.08095902
proto_leaf-2,0.0808824
service_ftp,0.08084028
proto_chaos,0.08048713
proto_xnet,0.080429465
proto_iso-tp4,0.080277786
state_REQ,0.08021827
proto_mobile,0.08016076
service_-,0.080145694
proto_pipe,0.07997077
proto_bna,0.07953239
proto_sep,0.07937666
proto_emcon,0.07866186
proto_netblt,0.078532845
proto_ipv6-route,0.07852938
proto_crtp,0.078456976
ct_src_dport_ltm,0.07828544
proto_ipv6-frag,0.078234896
proto_il,0.07814134
proto_sat-expak,0.07807568
proto_xns-idp,0.07777162
proto_igp,0.07775031
proto_sprite-rpc,0.077472426
proto_3pc,0.07682409
proto_sdrp,0.07679249
service_radius,0.07667931
proto_ipnip,0.07643658
state_INT,0.07640405
proto_fc,0.076200485
proto_iplt,0.07620044
proto_ipcv,0.07614476
proto_wb-mon,0.076100424
proto_ippc,0.07583972
proto_icmp,0.07566511
proto_ip,0.07560837
proto_larp,0.0755717
proto_pvp,0.07553299
proto_leaf-1,0.07541256
proto_iatp,0.07541178
proto_srp,0.07525775
proto_qnx,0.07486223
proto_st2,0.074861795
ct_dst_ltm,0.07418508
proto_sps,0.0741835
proto_micp,0.07416743
proto_ggp,0.07414062
proto_tcf,0.07384087
proto_trunk-1,0.07380696
proto_vines,0.07380572
proto_ipv6-no,0.0736039
proto_eigrp,0.07357945
dttl,0.0734206
proto_ifmp,0.073346004
proto_bbn-rcc,0.07319766
proto_cftp,0.07314183
proto_ptp,0.07311066
proto_ipcomp,0.073004395
ct_dst_sport_ltm,0.07292168
proto_any,0.07290638
proto_isis,0.07276377
proto_rsvp,0.07275052
proto_pup,0.07272733
proto_iso-ip,0.072720416
proto_wb-expak,0.072608665
proto_tp++,0.07259618
smean,0.07245611
proto_sm,0.07235582
proto_narp,0.07230087
proto_skip,0.07199404
proto_zero,0.07193366
proto_sccopmce,0.071720205
proto_rtp,0.071499996
proto_hmp,0.071488544
proto_idpr,0.071398586
proto_argus,0.0713096
proto_scps,0.071307346
proto_vmtp,0.07129164
proto_pnni,0.071270876
proto_compaq-peer,0.07123397
proto_uti,0.07119985
spkts,0.07117668
proto_wsn,0.07106033
proto_tcp,0.07092413
proto_ipv6-opts,0.07091805
proto_encap,0.070589796
state_ECO,0.07047579
proto_ax.25,0.070264846
proto_ttp,0.070258714
proto_ib,0.07017177
proto_mfe-nsp,0.0700006
proto_pim,0.069720015
proto_a/n,0.06966877
proto_aris,0.069619425
proto_xtp,0.06945315
proto_mux,0.06939492
ct_src_ltm,0.068779394
sbytes,0.06846234
proto_idrp,0.06843328
proto_tlsp,0.068382695
proto_gmtp,0.06831767
state_FIN,0.06821837
sinpkt,0.06802226
proto_ddp,0.06795348
proto_pgm,0.067753345
proto_nvp,0.067632355
sjit,0.067389175
state_PAR,0.06710625
proto_egp,0.06665276
proto_idpr-cmtp,0.066544674
proto_irtp,0.06649493
sloss,0.0663803
state_URN,0.06631132
proto_secure-vmtp,0.0661737
proto_br-sat-mon,0.065787174
proto_aes-sp3-d,0.06572629
proto_l2tp,0.06504794
proto_ipx-n-ip,0.06490235
dinpkt,0.06451108
proto_dgp,0.06434297
proto_nsfnet-igp,0.06297833
trans_depth,0.06270253
djit,0.061811414
dpkts,0.06180562
dloss,0.061516512
state_no,0.061278716
swin,0.061120205
dur,0.059399135
synack,0.058982346
sload,0.05889586
tcprtt,0.058737323
dbytes,0.057744488
dload,0.057503812
rate,0.05718461
is_sm_ips_ports,0.05698686
dwin,0.055920105
response_body_len,0.054099467
ct_flw_http_mthd,0.05364804
ct_ftp_cmd,0.052740637
is_ftp_login,0.051300112
ackdat,0.050000075
stcpb,0.03905627
dtcpb,0.035212785
