feature,coefficient,abs_coefficient
dload,-16.912390339206546,16.912390339206546
dttl,9.096622523837542,9.096622523837542
proto_igmp,-8.176962000462147,8.176962000462147
proto_tcp,-6.353079347638013,6.353079347638013
proto_udp,-5.154757220816982,5.154757220816982
proto_arp,-4.578147100033677,4.578147100033677
state_RST,4.532925712078949,4.532925712078949
dpkts,4.3640640127098695,4.3640640127098695
dwin,-4.358643258184326,4.358643258184326
swin,-4.118173316305675,4.118173316305675
service_dns,3.7899058981923197,3.7899058981923197
state_CON,-3.749124416260139,3.749124416260139
service_ftp,-3.6201721609860176,3.6201721609860176
service_smtp,3.502917547753617,3.502917547753617
proto_sctp,3.314072024477,3.314072024477
service_-,-3.031834573028369,3.031834573028369
dmean,3.0208407797258645,3.0208407797258645
dloss,-2.555706567329919,2.555706567329919
state_INT,2.3514578365879255,2.3514578365879255
state_REQ,-2.3211305421287083,2.3211305421287083
service_http,-2.2782946858924453,2.2782946858924453
service_ftp-data,2.2713225504154604,2.2713225504154604
proto_unas,2.2619448958574733,2.2619448958574733
ct_srv_dst,-1.8944189923073531,1.8944189923073531
is_sm_ips_ports,-1.8525933113932143,1.8525933113932143
ct_src_dport_ltm,1.634869889588769,1.634869889588769
dbytes,-1.5655118879142997,1.5655118879142997
ct_state_ttl,1.548932251896136,1.548932251896136
sttl,1.4279535838443325,1.4279535838443325
proto_icmp,-1.4243868345085668,1.4243868345085668
service_ssh,-1.413339292184368,1.413339292184368
proto_swipe,1.3611947399199178,1.3611947399199178
proto_sun-nd,1.3163501673932474,1.3163501673932474
proto_mobile,1.2923545091760502,1.2923545091760502
service_radius,-1.16856059991258,1.16856059991258
service_dhcp,0.9266685902088445,0.9266685902088445
proto_rtp,-0.8741985333119493,0.8741985333119493
trans_depth,0.7461219075486241,0.7461219075486241
sloss,0.6901309876127721,0.6901309876127721
state_ECO,-0.6628687633999568,0.6628687633999568
sbytes,-0.6459291244721674,0.6459291244721674
service_snmp,-0.5477292083395984,0.5477292083395984
state_FIN,0.5251808195988809,0.5251808195988809
proto_ospf,-0.5207287395397551,0.5207287395397551
service_ssl,0.5175378564713273,0.5175378564713273
service_irc,0.5042547839035249,0.5042547839035249
service_pop3,0.4622458687888864,0.4622458687888864
ct_dst_ltm,0.4485550489310487,0.4485550489310487
spkts,-0.3686103610727491,0.3686103610727491
state_URN,-0.36115138391898666,0.36115138391898666
state_no,-0.3590139991210992,0.3590139991210992
proto_any,0.35823395045970596,0.35823395045970596
synack,-0.35567721399403757,0.35567721399403757
proto_rsvp,0.2891306457955175,0.2891306457955175
proto_sep,0.23864495086093024,0.23864495086093024
proto_netblt,0.2231848312105432,0.2231848312105432
ct_ftp_cmd,0.2211678436225698,0.2211678436225698
is_ftp_login,0.2211678436225698,0.2211678436225698
proto_chaos,0.2189193231665998,0.2189193231665998
proto_ipv6,0.21425461465027504,0.21425461465027504
proto_gre,0.21376459471551765,0.21376459471551765
proto_ipcv,0.21269221447499498,0.21269221447499498
proto_pim,0.2102642881945133,0.2102642881945133
proto_iso-tp4,0.2087746736413302,0.2087746736413302
proto_mux,0.19806845348600785,0.19806845348600785
proto_il,0.1905423261473284,0.1905423261473284
proto_dcn,0.18895023517822815,0.18895023517822815
djit,0.1887976466075721,0.1887976466075721
proto_hmp,0.18850329076196318,0.18850329076196318
proto_visa,0.18613585459540727,0.18613585459540727
proto_trunk-2,0.18355027328792012,0.18355027328792012
proto_trunk-1,0.1835156449958617,0.1835156449958617
proto_cpnx,0.18314410757960642,0.18314410757960642
proto_prm,0.18236374014289988,0.18236374014289988
proto_leaf-2,0.1777503886036715,0.1777503886036715
proto_vrrp,0.1771576676955045,0.1771576676955045
proto_xns-idp,0.17594679336890168,0.17594679336890168
proto_crtp,0.17374009026317183,0.17374009026317183
proto_wsn,0.17328230048374557,0.17328230048374557
proto_ipv6-frag,0.17206069057840115,0.17206069057840115
proto_leaf-1,0.17119130781274952,0.17119130781274952
proto_xnet,0.17097145921953896,0.17097145921953896
proto_fc,0.16981438873644544,0.16981438873644544
ct_dst_src_ltm,-0.1685985729441401,0.1685985729441401
proto_sat-mon,0.16794787297730107,0.16794787297730107
proto_ippc,0.1669867701453716,0.1669867701453716
proto_ipv6-route,0.16623629155442562,0.16623629155442562
proto_compaq-peer,0.1659841986112571,0.1659841986112571
proto_rdp,0.16528150513602077,0.16528150513602077
proto_3pc,0.16379134795845937,0.16379134795845937
proto_pipe,0.16317163441463617,0.16317163441463617
proto_nsfnet-igp,0.16153573483957642,0.16153573483957642
proto_pvp,0.16036440885585632,0.16036440885585632
proto_irtp,0.16010901679191786,0.16010901679191786
proto_cphb,0.15964798216250103,0.15964798216250103
proto_i-nlsp,0.1578793024087603,0.1578793024087603
proto_kryptolan,0.15702824033893703,0.15702824033893703
proto_larp,0.15633954833382244,0.15633954833382244
proto_mtp,0.15621979576528924,0.15621979576528924
proto_tp++,0.15560224256765276,0.15560224256765276
proto_sprite-rpc,0.15358821402621822,0.15358821402621822
proto_idpr-cmtp,0.1534423771690414,0.1534423771690414
proto_br-sat-mon,0.15275648246396265,0.15275648246396265
proto_tcf,0.15197744504181238,0.15197744504181238
proto_sccopmce,0.15189091929004395,0.15189091929004395
sinpkt,-0.1518572324124962,0.1518572324124962
proto_merit-inp,0.15081280225984273,0.15081280225984273
proto_eigrp,0.15027674621653303,0.15027674621653303
proto_crudp,0.15009347933935063,0.15009347933935063
proto_aes-sp3-d,0.14982250591135465,0.14982250591135465
proto_dgp,0.14880286743567706,0.14880286743567706
proto_rvd,0.1464614384305589,0.1464614384305589
proto_mfe-nsp,0.14641650917988241,0.14641650917988241
proto_skip,0.14528761931195758,0.14528761931195758
proto_bna,0.144942583882622,0.144942583882622
